SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
UC 152x152x37,0.1618,0.1544,0.008,0.0115,0.0076
UC 152x152x30,0.1576,0.1529,0.0065,0.0094,0.0076
UC 152x152x23,0.1524,0.1522,0.0058,0.0068,0.0076
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CircularHollowProfile,,,,,
CatalogueName,Diameter,WallThickness,,,
CHS 88.9x4.5  #,0.0889,0.0045,,,
CHS 88.9x5,0.0889,0.005,,,
CHS 88.9x5.6  #,0.0889,0.0056,,,
CHS 88.9x6.3,0.0889,0.0063,,,
CHS 88.9x8,0.0889,0.008,,,
CHS 88.9x10  #,0.0889,0.01,,,
CHS 101.6x3.2  #,0.1016,0.0032,,,
CHS 101.6x3.6  #,0.1016,0.0036,,,
CHS 101.6x4  #,0.1016,0.004,,,
CHS 101.6x4.5  #,0.1016,0.0045,,,
CHS 101.6x5  #,0.1016,0.005,,,
CHS 101.6x5.6  #,0.1016,0.0056,,,
CHS 101.6x6.3  #,0.1016,0.0063,,,
CHS 101.6x8  #,0.1016,0.008,,,
CHS 101.6x10  #,0.1016,0.01,,,
CHS 114.3x3.2  #,0.1143,0.0032,,,
CHS 114.3x3.6,0.1143,0.0036,,,
CHS 114.3x4,0.1143,0.004,,,
CHS 114.3x4.5  #,0.1143,0.0045,,,
CHS 114.3x5,0.1143,0.005,,,
CHS 114.3x5.6  #,0.1143,0.0056,,,
CHS 114.3x6.3,0.1143,0.0063,,,
CHS 114.3x8,0.1143,0.008,,,
CHS 114.3x10  #,0.1143,0.01,,,
CHS 139.7x3.2  #,0.1397,0.0032,,,
CHS 139.7x3.6  #,0.1397,0.0036,,,
CHS 139.7x4  #,0.1397,0.004,,,
CHS 139.7x4.5  #,0.1397,0.0045,,,
CHS 139.7x5,0.1397,0.005,,,
CHS 139.7x5.6  #,0.1397,0.0056,,,
CHS 139.7x6.3,0.1397,0.0063,,,
CHS 139.7x8,0.1397,0.008,,,
CHS 139.7x10,0.1397,0.01,,,
CHS 139.7x12.5  #,0.1397,0.0125,,,
CHS 168.3x5,0.1683,0.005,,,
CHS 168.3x5.6  #,0.1683,0.0056,,,
CHS 168.3x6.3,0.1683,0.0063,,,
CHS 168.3x8,0.1683,0.008,,,
CHS 168.3x10,0.1683,0.01,,,
CHS 168.3x12.5,0.1683,0.0125,,,
CHS 193.7x5,0.1937,0.005,,,
CHS 193.7x5.6  #,0.1937,0.0056,,,
CHS 193.7x6.3,0.1937,0.0063,,,
CHS 193.7x8,0.1937,0.008,,,
CHS 193.7x10,0.1937,0.01,,,
CHS 193.7x12.5,0.1937,0.0125,,,
CHS 193.7x16  #,0.1937,0.016,,,
CHS 219.1x4.5  #,0.2191,0.0045,,,
CHS 219.1x5  #,0.2191,0.005,,,
CHS 219.1x5.6  #,0.2191,0.0056,,,
CHS 219.1x6.3,0.2191,0.0063,,,
CHS 219.1x8,0.2191,0.008,,,
CHS 219.1x10,0.2191,0.01,,,
CHS 219.1x12.5,0.2191,0.0125,,,
CHS 219.1x14.2 #,0.2191,0.0142,,,
CHS 219.1x16,0.2191,0.016,,,
CHS 244.5x5 #,0.2445,0.005,,,
CHS 244.5x5.6 #,0.2445,0.0056,,,
CHS 244.5x6.3 #,0.2445,0.0063,,,
CHS 244.5x8 #,0.2445,0.008,,,
CHS 244.5x10 #,0.2445,0.01,,,
CHS 244.5x12.5,0.2445,0.0125,,,
CHS 244.5x14.2 #,0.2445,0.0142,,,
CHS 244.5x16,0.2445,0.016,,,
CHS 273x5 #,0.273,0.005,,,
CHS 273x5.6 #,0.273,0.0056,,,
CHS 273x6.3 #,0.273,0.0063,,,
CHS 273x8 #,0.273,0.008,,,
CHS 273x10,0.273,0.01,,,
CHS 273x12.5,0.273,0.0125,,,
CHS 273x14.2 #,0.273,0.0142,,,
CHS 273x16,0.273,0.016,,,
CHS 323.9x5 #,0.3239,0.005,,,
CHS 323.9x5.6 #,0.3239,0.0056,,,
CHS 323.9x6.3 #,0.3239,0.0063,,,
CHS 323.9x8 #,0.3239,0.008,,,
CHS 323.9x10,0.3239,0.01,,,
CHS 323.9x12.5,0.3239,0.0125,,,
CHS 323.9x14.2 #,0.3239,0.0142,,,
CHS 323.9x16,0.3239,0.016,,,
CHS 355.6x5 #,0.3556,0.005,,,
CHS 355.6x6.3 #,0.3556,0.0063,,,
CHS 355.6x8 #,0.3556,0.008,,,
CHS 355.6x10 #,0.3556,0.01,,,
